0	1	1	1	2	1	2	2	2	2	2	3	3	2	2	3	4	5	5	6	4	4	3	4	4	5	5	inf	inf	inf	inf	inf
1	0	1	1	1	1	1	1	1	1	2	3	3	2	2	3	4	5	5	6	4	4	3	4	4	5	5	inf	inf	inf	inf	inf
1	1	0	1	2	1	2	2	2	1	1	2	2	1	1	2	3	4	4	5	3	3	2	3	3	4	4	inf	inf	inf	inf	inf
1	1	1	0	2	1	2	2	2	2	3	4	4	3	3	4	5	6	6	7	5	5	4	5	5	6	6	inf	inf	inf	inf	inf
2	1	2	2	0	1	1	1	1	3	4	5	5	4	4	5	6	7	7	8	6	6	5	6	6	7	7	inf	inf	inf	inf	inf
1	1	1	1	1	0	1	1	1	2	3	4	4	3	3	4	5	6	6	7	5	5	4	5	5	6	6	inf	inf	inf	inf	inf
2	1	2	2	1	1	0	1	1	3	4	5	5	4	4	5	6	7	7	8	6	6	5	6	6	7	7	inf	inf	inf	inf	inf
2	1	2	2	1	1	1	0	1	3	4	5	5	4	4	5	6	7	7	8	6	6	5	6	6	7	7	inf	inf	inf	inf	inf
2	1	2	2	1	1	1	1	0	3	4	5	5	4	4	5	6	7	7	8	6	6	5	6	6	7	7	inf	inf	inf	inf	inf
2	1	1	2	3	2	3	3	3	0	0	1	1	0	0	1	2	3	3	4	2	2	1	2	2	3	3	inf	inf	inf	inf	inf
2	2	1	3	4	3	4	4	4	0	0	1	1	1	1	1	1	2	1	1	1	2	1	2	0	1	1	inf	inf	inf	inf	inf
3	3	2	4	5	4	5	5	5	1	1	0	1	1	2	2	2	3	1	1	1	1	1	1	1	2	2	inf	inf	inf	inf	inf
3	3	2	4	5	4	5	5	5	1	1	1	0	1	1	1	1	1	1	2	2	2	1	3	1	2	2	inf	inf	inf	inf	inf
2	2	1	3	4	3	4	4	4	0	1	1	1	0	1	1	1	1	2	3	2	2	1	3	0	1	1	inf	inf	inf	inf	inf
2	2	1	3	4	3	4	4	4	0	1	2	1	1	0	1	1	1	2	3	3	3	1	2	0	1	1	inf	inf	inf	inf	inf
3	3	2	4	5	4	5	5	5	1	1	2	1	1	1	0	1	1	1	1	3	2	1	2	1	2	2	inf	inf	inf	inf	inf
4	4	3	5	6	5	6	6	6	2	1	2	1	1	1	1	0	1	1	1	4	2	1	2	2	3	3	inf	inf	inf	inf	inf
5	5	4	6	7	6	7	7	7	3	2	3	1	1	1	1	1	0	1	1	4	2	1	1	3	4	4	inf	inf	inf	inf	inf
5	5	4	6	7	6	7	7	7	3	1	1	1	2	2	1	1	1	0	1	2	1	1	1	3	4	4	inf	inf	inf	inf	inf
6	6	5	7	8	7	8	8	8	4	1	1	2	3	3	1	1	1	1	0	1	1	1	1	4	5	5	inf	inf	inf	inf	inf
4	4	3	5	6	5	6	6	6	2	1	1	2	2	3	3	4	4	2	1	0	1	2	1	2	3	3	inf	inf	inf	inf	inf
4	4	3	5	6	5	6	6	6	2	2	1	2	2	3	2	2	2	1	1	1	0	1	1	2	3	3	inf	inf	inf	inf	inf
3	3	2	4	5	4	5	5	5	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1	2	2	inf	inf	inf	inf	inf
4	4	3	5	6	5	6	6	6	2	2	1	3	3	2	2	2	1	1	1	1	1	1	0	2	3	3	inf	inf	inf	inf	inf
4	4	3	5	6	5	6	6	6	2	0	1	1	0	0	1	2	3	3	4	2	2	1	2	0	1	1	inf	inf	inf	inf	inf
5	5	4	6	7	6	7	7	7	3	1	2	2	1	1	2	3	4	4	5	3	3	2	3	1	0	1	inf	inf	inf	inf	inf
5	5	4	6	7	6	7	7	7	3	1	2	2	1	1	2	3	4	4	5	3	3	2	3	1	1	0	inf	inf	inf	inf	inf
inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	0	inf	inf	inf	inf
inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	0	inf	inf	inf
inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	0	inf	inf
inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	0	inf
inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	0
