0	1	1	5	5	8	8	9	12	1	1	1	1	4	4	4	1	1	inf	1	1	1	3	3	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	2	4	6	7	5	4	3	2	2	3	4	4	3	2	1	1	1	2	13	4	4	5	4	5	6	4	5	6	7	8	9	10	11	11	10	9	8	9	10	11	12	8	7	8	10	10	11	11	10	9	3	inf	inf	inf	inf	inf	inf
1	0	1	5	5	8	8	9	12	1	1	1	1	4	4	4	1	1	inf	1	1	1	3	3	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	2	4	6	7	5	4	3	2	2	3	4	4	3	2	1	1	1	2	3	4	4	5	4	5	6	4	5	6	7	8	9	10	11	11	10	9	8	9	10	11	12	8	7	8	10	10	11	11	10	9	3	inf	inf	inf	inf	inf	inf
1	1	0	5	5	8	8	9	12	1	1	1	1	4	4	4	1	1	inf	1	1	1	3	3	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	2	4	6	7	5	4	3	2	2	3	4	4	3	2	1	1	1	2	3	4	4	5	4	5	6	4	5	6	7	8	9	10	11	11	10	9	8	9	10	11	12	8	7	8	10	10	11	11	10	9	3	inf	inf	inf	inf	inf	inf
5	5	5	0	9	8	8	9	12	5	5	5	5	5	3	5	4	4	inf	3	3	3	5	5	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	4	5	6	7	7	6	5	5	6	6	8	9	8	7	5	5	4	3	2	3	1	2	3	1	1	4	5	6	7	8	9	10	11	11	10	9	8	9	10	11	12	8	7	8	10	10	11	11	10	9	4	inf	inf	inf	inf	inf	inf
5	5	5	9	0	10	10	11	14	6	5	5	5	8	6	5	7	7	inf	6	6	6	5	5	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	4	4	4	2	1	2	3	3	2	1	1	1	2	2	3	4	5	6	7	8	8	6	5	9	10	6	7	8	9	10	11	12	13	13	12	11	10	11	12	13	14	10	9	10	12	12	13	13	12	11	7	inf	inf	inf	inf	inf	inf
8	8	8	8	10	0	3	2	5	10	9	9	10	10	5	6	9	9	inf	9	9	9	6	6	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	5	6	7	8	8	7	6	6	7	8	9	10	9	9	7	8	9	8	7	8	6	5	4	7	8	3	2	1	1	1	2	3	4	3	2	1	1	2	3	4	5	1	1	2	3	4	5	5	4	3	9	inf	inf	inf	inf	inf	inf
8	8	8	8	10	3	0	3	6	10	9	9	10	10	5	6	9	9	inf	9	9	9	6	6	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	5	6	7	8	8	7	6	6	7	8	9	10	9	9	7	8	9	8	7	8	6	5	4	7	8	3	2	1	2	3	5	6	7	6	5	4	3	3	4	5	6	1	1	1	1	2	3	3	2	1	9	inf	inf	inf	inf	inf	inf
9	9	9	9	11	2	3	0	3	11	10	10	11	11	6	7	10	10	inf	10	10	10	7	7	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	6	7	8	9	9	8	7	7	8	9	10	11	10	10	8	9	10	9	8	9	7	6	5	8	9	4	3	2	1	2	4	5	6	5	4	3	1	1	1	2	3	2	2	3	4	5	6	6	5	4	10	inf	inf	inf	inf	inf	inf
12	12	12	12	14	5	6	3	0	14	13	13	14	14	9	10	13	13	inf	13	13	13	10	10	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	9	10	11	12	12	11	10	10	11	12	13	14	13	13	11	12	13	12	11	12	10	9	8	11	12	7	6	5	4	5	7	8	9	8	7	6	3	2	1	1	1	5	5	6	7	8	9	9	8	7	13	inf	inf	inf	inf	inf	inf
1	1	1	5	6	10	10	11	14	0	1	1	1	3	5	5	1	1	inf	1	1	1	5	5	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	1	5	6	7	6	5	4	3	3	4	5	5	4	3	2	1	1	1	2	3	3	4	5	4	5	6	7	8	9	10	11	12	13	13	12	11	10	11	12	13	14	10	9	10	12	12	13	13	12	11	2	inf	inf	inf	inf	inf	inf
